!add,
!måndag,Snart är det Lördag igen!~
!tisdag,T-3 dagar kvar tills !Fredagsmys !
!onsdag,Lill-Lördag!
!torsdag,Fredag imorgon! Redo för !Fredagsmys ??
!fredag,På Fredagar är det Fredagsmys!
!lördag,Snart är det Måndag igen!~
!söndag,Gaming Day \o/
!hello,Hello {0.author.mention}
!killacann,Reported for Aimbot count: 1
!erika,Erika är Zolor
!robban,Går snart hem för dagen
!ficklampa,Ficklampa is STHLM e-sport #1 support

!bot,I am the Bot! Created by <@!95500709658636288> ❤
!nextevent,IEM Katowice! https://m.facebook.com/events/216278772171931
